tranCd,shpngStusCd,acctNr,brchrNr,netSlsAmt,awrdSlsAmt,tranAmt,netSlsAmtSum,awrdSlsAmtSum,tranAmtSum
Regular order,INVCD,129485,11,165,226,,165,226,
Express order,INVCD,351566,11,276,379,,276,379,
Regular order,INVCD,376215,11,81,107,,81,107,
Regular order,SHPPD,396260,11,37,51,,37,51,
Regular order,INVCD,446243,11,142,201,,142,201,
Regular order,INVCD,756668,11,118,162,,118,162,
Regular order,SHPPD,778300,11,154,229,,154,229,
Regular order,SHPPD,855566,11,100,133,,100,133,
Regular order,ENTRD,881746,11,,,,,,
Regular order,SHPPD,935410,11,334,478,,385,546,
Regular order,INVCD,935410,11,50,68,,385,546,
Regular order,SHPPD,1014371,11,263,362,,263,362,
Express order,SHPPD,1202210,11,137,186,,137,186,
Regular order,SHPPD,1271295,11,102,135,,102,135,
Express order,ENTRD,1310119,11,,,,,,
Regular order,SHPPD,1310617,11,186,280,,186,280,
Express order,ENTRD,1408840,11,,,,169,252,
Regular order,CRDHLD,1408840,11,169,252,,169,252,
Regular order,INVCD,1413905,11,233,330,,233,330,-36
Return,,1413905,,,,-36,233,330,-36
Regular order,SHPPD,1417656,11,148,200,,148,200,
Return,,1432275,,,,-7,,,-7
Express order,SHPPD,1504716,11,122,167,,122,167,
Regular order,SHPPD,1519179,11,159,234,,159,234,
Express order,SHPPD,1653665,11,132,197,,132,197,-40
Return,,1653665,,,,-40,132,197,-40
Regular order,SHPPD,1688260,11,142,196,,142,196,-36
Return,,1688260,,,,-36,142,196,-36
Regular order,SHPPD,1708732,11,88,124,,88,124,
Express order,INVCD,2449282,11,59,87,,59,87,
Return,,2627322,,,,-12,,,-12
Regular order,ENTRD,2741257,11,,,,,,
Express order,SHPPD,6633950,11,101,120,,101,120,
Express order,SHPPD,7122600,11,183,300,,475,753,-40
Regular order,SHPPD,7122600,11,292,452,,475,753,-40
Return,,7122600,,,,-40,475,753,-40
Regular order,SHPPD,9397057,11,208,264,,208,264,
Regular order,INVCD,9417641,11,50,76,,50,76,
Regular order,SHPPD,9424985,11,189,293,,189,293,
Express order,SHPPD,9440897,11,74,101,,111,157,
Express order,SHPPD,9440897,11,37,56,,111,157,
Regular order,INVCD,9449781,11,109,168,,109,168,
Express order,INVCD,9465364,11,89,122,,89,122,
Express order,SHPPD,9491297,11,30,30,,30,30,
Regular order,SHPPD,9503839,11,102,153,,102,153,
Express order,SHPPD,9520078,11,212,311,,212,311,
Regular order,SHPPD,9537911,11,125,176,,125,176,
Express order,SHPPD,9560487,11,109,155,,109,155,
Regular order,SHPPD,9560490,11,83,107,,126,154,
Regular order,SHPPD,9560490,11,44,46,,126,154,
Express order,INVCD,9561137,11,202,350,,202,350,
Express order,SHPPD,9561992,11,53,72,,53,72,
Return,,9565030,,,,-10,,,-10
Return,,9587605,,,,-12,,,-12
Regular order,INVCD,9588337,11,84,117,,84,117,
Express order,SHPPD,9591685,11,204,289,,204,289,
Express order,SHPPD,9596452,11,423,630,,423,630,
Express order,SHPPD,9597024,11,80,141,,80,141,
Regular order,SHPPD,9602570,11,115,148,,115,148,
Express order,INVCD,9619721,11,173,256,,173,256,
Express order,SHPPD,9619747,11,32,52,,32,52,
Regular order,SHPPD,9640441,11,48,53,,48,53,
Express order,SHPPD,9641721,11,50,47,,269,338,
Regular order,SHPPD,9641721,11,219,291,,269,338,
Express order,INVCD,9648595,11,103,144,,103,144,
Express order,SHPPD,9684441,11,193,316,,193,316,
Regular order,SHPPD,9711719,11,175,274,,175,274,
Express order,INVCD,9727317,11,125,188,,125,188,
Regular order,INVCD,9741505,11,85,126,,85,126,
Regular order,SHPPD,9742187,11,96,132,,96,132,
Express order,SHPPD,9768210,11,266,427,,266,427,
Regular order,SHPPD,9785702,11,343,497,,343,497,
Regular order,SHPPD,9801042,11,23,20,,23,20,
Regular order,SHPPD,9801068,11,89,133,,89,133,
Regular order,INVCD,9832030,11,94,141,,94,141,
Regular order,INVCD,9852960,11,151,200,,151,200,
Regular order,SHPPD,9857909,11,115,166,,115,166,
Express order,SHPPD,9861907,11,95,119,,95,119,
Express order,INVCD,9864941,11,234,328,,234,328,
Express order,INVCD,9882198,11,79,112,,79,112,
Express order,SHPPD,9893157,11,67,105,,67,105,
Express order,INVCD,10024995,11,216,312,,216,312,
Regular order,ENTRD,10110669,11,,,,,,
Regular order,SHPPD,10167250,11,171,256,,171,256,
Regular order,SHPPD,10349342,11,105,126,,105,126,
Regular order,SHPPD,10351404,11,53,64,,53,64,
Regular order,SHPPD,10351420,11,60,79,,60,79,
Regular order,SHPPD,10385619,11,132,188,,132,188,
Express order,ENTRD,10477032,11,,,,39,46,
Regular order,CRDHLD,10477032,11,39,46,,39,46,
Express order,INVCD,10493204,11,102,146,,102,146,
Express order,SHPPD,10532517,11,137,190,,137,190,
Express order,INVCD,10581394,11,108,196,,108,196,
Return,,10600680,,,,-9,,,-9
Regular order,SHPPD,10602495,11,55,72,,55,72,
Regular order,SHPPD,10616508,11,168,232,,168,232,
Express order,INVCD,10637741,11,159,217,,159,217,
Express order,INVCD,10644505,11,121,168,,121,168,
Express order,INVCD,10691158,11,148,218,,148,218,
Regular order,INVCD,10710080,11,57,85,,57,85,-13
Return,,10710080,,,,-13,57,85,-13
Regular order,SHPPD,10722492,11,90,128,,90,128,
Return,,10722501,,,,-8,,,-8
Regular order,CRDHLD,10731569,10,561,788,,561,788,
Regular order,SHPPD,10747518,11,218,306,,218,306,
Regular order,ENTRD,10751977,11,,,,,,
Express order,SHPPD,10764110,11,58,88,,58,88,
Regular order,SHPPD,10948040,11,499,734,,499,734,
Regular order,ENTRD,10953091,11,,,,,,
Regular order,SHPPD,11062337,11,53,66,,53,66,
Regular order,SHPPD,11070543,11,106,142,,106,142,
Express order,SHPPD,11294911,11,82,108,,82,108,
Regular order,SHPPD,11448081,11,167,235,,167,235,
Express order,SHPPD,12477570,11,273,418,,429,626,
Express order,SHPPD,12477570,11,156,208,,429,626,
Regular order,SHPPD,14061220,11,65,84,,65,84,
Regular order,SHPPD,14085040,11,231,319,,231,319,
Express order,SHPPD,18965130,11,112,169,,112,169,
Express order,SHPPD,22015300,11,135,208,,298,487,-28
Regular order,SHPPD,22015300,11,163,279,,298,487,-28
Return,,22015300,,,,-28,298,487,-28
Express order,SHPPD,23738680,11,102,151,,102,151,
Regular order,SHPPD,24314090,11,200,267,,200,267,
Return,,25290220,,,,-24,,,-24
Express order,INVCD,27220460,11,95,140,,218,344,-29
Regular order,SHPPD,27220460,11,124,204,,218,344,-29
Return,,27220460,,,,-13,218,344,-29
Return,,27220460,,,,-17,218,344,-29
Regular order,SHPPD,28008010,11,155,215,,155,215,
Express order,SHPPD,28202240,11,180,272,,929,"1,456",
Express order,INVCD,28202240,11,183,303,,929,"1,456",
Regular order,SHPPD,28202240,11,347,526,,929,"1,456",
Regular order,SHPPD,28202240,11,219,354,,929,"1,456",
Express order,INVCD,31693960,11,322,462,,322,462,-3
Return,,31693960,,,,-3,322,462,-3
Express order,SHPPD,31916500,11,97,126,,97,126,
Express order,INVCD,32079120,11,99,142,,99,142,
Regular order,SHPPD,32105919,11,55,77,,55,77,
Express order,SHPPD,33919000,11,82,128,,142,226,
Regular order,SHPPD,33919000,11,60,98,,142,226,
Regular order,SHPPD,34306800,11,129,179,,129,179,
Express order,SHPPD,34855360,11,144,209,,144,209,
Regular order,SHPPD,35747130,11,154,231,,154,231,
Express order,SHPPD,35957250,11,102,160,,332,496,
Regular order,SHPPD,35957250,11,230,336,,332,496,
Express order,SHPPD,38788250,11,55,78,,55,78,
Return,,38793620,,,,-13,,,-13
Regular order,SHPPD,38796660,11,185,262,,185,262,
Express order,SHPPD,39353930,11,227,343,,227,343,
Regular order,SHPPD,41198810,11,118,175,,118,175,
Express order,INVCD,41308400,11,330,479,,330,479,
Regular order,SHPPD,41442860,11,44,60,,44,60,
Regular order,SHPPD,43851730,11,61,75,,61,75,
Regular order,SHPPD,44185530,11,162,231,,162,231,
Regular order,SHPPD,49357550,11,309,379,,309,379,
Express order,SHPPD,53940239,11,55,76,,55,76,
Express order,SHPPD,63418798,11,250,388,,742,"1,129",-92
Regular order,SHPPD,63418798,11,492,741,,742,"1,129",-92
Return,,63418798,,,,-64,742,"1,129",-92
Return,,63418798,,,,-27,742,"1,129",-92
Return,,93868680,,,,-10,,,-10
